Entity,Code,Year,Above $10 a day,$8.30-$10 a day,$4.20-$8.30 a day,$3-$4.20 a day,Below $3 a day
Albania,ALB,2012,1133125,414508,1126111,135626,51338
Albania,ALB,2014,1182598,301570,942923,244708,101968
Albania,ALB,2015,1491058,345170,766174,98441,30450
Albania,ALB,2016,1482809,322584,726750,126649,30677
Albania,ALB,2017,1463928,319338,740231,86535,38253
Albania,ALB,2018,1700356,278202,537060,65776,26339
Albania,ALB,2019,1693852,322009,506450,38496,6994
Albania,ALB,2020,1743268,281307,450224,45061,8620
Algeria,DZA,2011,15487653,6051384,13760960,1729655,0
Angola,AGO,2018,4458374,1836811,8289672,4525471,12370168
Argentina (urban),,2010,30636408,1833671,3792341,730917,576487
Argentina (urban),,2011,32026439,1686558,3421650,425814,459187
Argentina (urban),,2012,32826741,1659615,2986550,492126,488196
Argentina (urban),,2013,33126949,1715115,3163676,449193,423467
Argentina (urban),,2014,32634114,2087705,3620812,563859,416450
Argentina (urban),,2016,33531103,2040997,3595781,528299,510220
Argentina (urban),,2017,34907365,1709662,2961109,572441,452419
Argentina (urban),,2018,33718445,2134092,3796371,658621,671359
Argentina (urban),,2019,33002568,2154185,4571276,887202,695949
Argentina (urban),,2020,31252061,2703867,5836514,845951,912863
Argentina (urban),,2021,33251816,2530740,4551648,797967,568393
Argentina (urban),,2022,33384182,2630794,4598399,671706,541427
Argentina (urban),,2023,32478762,2600869,5598101,820224,485952
Argentina (urban),,2024,33300655,2463904,5237478,757400,406343
Armenia,ARM,2010,673217,362817,1579216,339896,89654
Armenia,ARM,2011,755499,363868,1510529,303243,94761
Armenia,ARM,2012,790321,431008,1462914,264291,75566
Armenia,ARM,2013,885993,400783,1391648,254524,89052
Armenia,ARM,2014,905623,445618,1318615,240342,103602
Armenia,ARM,2015,1048772,433540,1237978,198607,85703
Armenia,ARM,2016,1242505,377242,1086163,211104,75286
Armenia,ARM,2017,979813,428303,1330455,170441,70388
Armenia,ARM,2018,966239,436441,1286358,193961,86001
Armenia,ARM,2019,837815,432859,1400670,219232,71924
Armenia,ARM,2020,759999,479258,1523106,154223,44914
Armenia,ARM,2021,812384,461812,1428278,197082,62744
Armenia,ARM,2022,840652,474492,1355669,242065,56322
Armenia,ARM,2023,823675,452848,1438231,192394,57152
Armenia,ARM,2024,1067417,527940,1264803,149549,23791
Australia,AUS,2010,21745337,66096,88126,22032,110159
Australia,AUS,2014,23193978,46951,70427,23476,140854
Australia,AUS,2016,23900617,48382,96764,24190,120955
Australia,AUS,2018,24638736,24963,149779,0,149780
Australia,AUS,2020,25238860,25649,102597,51299,230843
Austria,AUT,2010,8278392,16063,20842,4649,43458
Austria,AUT,2011,8277029,27963,38397,8241,40013
Austria,AUT,2012,8308894,30925,32573,990,56609
Austria,AUT,2013,8409900,11897,26090,3274,28662
Austria,AUT,2014,8474747,8452,37187,6804,19166
Austria,AUT,2015,8505352,37082,37048,4048,59169
Austria,AUT,2016,8598532,22214,37921,19984,58017
Austria,AUT,2017,8725516,11419,25591,4272,30768
Austria,AUT,2018,8733939,4762,41055,10519,50246
Austria,AUT,2019,8791797,12406,12443,5852,57422
Austria,AUT,2020,8804314,17120,16290,13279,65861
Austria,AUT,2021,8833430,20530,55448,2880,43509
Austria,AUT,2022,8933690,9327,34867,5740,58227
Austria,AUT,2023,9030234,8951,39276,5064,48236
Bangladesh,BGD,2010,11048659,6325495,55485278,41111561,38230991
Bangladesh,BGD,2016,14389881,8555550,65903851,40586370,31376284
Bangladesh,BGD,2022,31106832,17174481,86451317,24643178,10009088
Barbados,BRB,2016,212893,22599,35276,4140,4690
Belarus,BLR,2010,6758009,1015079,1585964,108459,16325
Belarus,BLR,2011,7107117,976921,1293050,79381,5174
Belarus,BLR,2012,7835933,744094,841998,17140,7671
Belarus,BLR,2013,8374793,516470,537859,11967,2122
Belarus,BLR,2014,8394696,546829,501943,5047,0
Belarus,BLR,2015,8151780,663726,617425,28145,0
Belarus,BLR,2016,8044195,727284,671346,26554,0
Belarus,BLR,2017,8154817,721053,568627,11889,2603
Belarus,BLR,2018,8523475,505007,396316,11909,2078
Belarus,BLR,2019,8692262,363916,361862,1718,0
Belarus,BLR,2020,8774007,358035,241731,6179,0
Belgium,BEL,2010,10814682,27576,31650,6195,15483
Belgium,BEL,2011,10946754,22510,37006,11673,20321
Belgium,BEL,2012,11041210,12856,27175,6579,19112
Belgium,BEL,2013,11080985,18904,34767,8625,16126
Belgium,BEL,2014,11170334,8208,16340,5601,8574
Belgium,BEL,2015,11237951,10112,4130,6536,15467
Belgium,BEL,2016,11278728,17139,25740,3037,6778
Belgium,BEL,2017,11315455,19189,14792,5820,19902
Belgium,BEL,2018,11390574,12882,13342,0,10256
Belgium,BEL,2019,11457132,4960,12047,2565,12276
